frame,slot,orientation,pose_notes,attempt,source_imagegen_path,raw_path,alpha_path,frame_path,promoted_path,holes_filled,hole_area,components_removed_area,status,notes
00,idle,right-facing side,"low relaxed gecko standing still, head level, all four feet planted, tail gently trailing",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3daa0d9fe081918953905087ce21b9.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-00-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-00-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-00.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-00.png,0,0,0,promoted_accepted_set00,
01,idle,right-facing side,"subtle breathing pose, chest slightly lifted, front toes still planted, tail unchanged",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3daa2dc4d0819191bf95c375fbd910.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-01-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-01-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-01.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-01.png,0,0,0,promoted_accepted_set00,
02,idle,right-facing side,"small head raise and alert eye, body still low, tail tip barely lifted",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3daa53ad388191b5c031026c687ac3.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-02-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-02-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-02.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-02.png,0,0,0,promoted_accepted_set00,
03,idle,right-facing side,"settles back down, tiny tail-tip curl, all feet stable",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3daa78350081918d5ef9c02a175cd3.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-03-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-03-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-03.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-03.png,1,17,0,promoted_accepted_set00,internal_alpha_holes_filled=1
04,walk,right-facing side,"slow crawl step, near front foot reaching forward, far hind foot pushing, body stretched slightly",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3daa9e4428819183b1473663e56391.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-04-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-04-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-04.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-04.png,0,0,0,promoted_accepted_set00,
05,walk,right-facing side,"slow crawl step, near front foot planted, near hind foot lifting, belly low",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3daac2d3fc8191ae45f0f7fd0b871e.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-05-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-05-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-05.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-05.png,0,0,0,promoted_accepted_set00,
06,walk,right-facing side,"slow crawl step, far front foot suggested forward, tail counter-curves lightly",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3daae805f48191a143bc83e65df3dd.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-06-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-06-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-06.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-06.png,1,19,0,promoted_accepted_set00,internal_alpha_holes_filled=1
07,walk,right-facing side,"slow crawl step, near hind foot placed ahead, head steady, body compact",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dab1257e48191963113fe9aa3fa49.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-07-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-07-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-07.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-07.png,1,45,0,promoted_accepted_set00,internal_alpha_holes_filled=1
08,walk,right-facing side,"second crawl cycle start, front shoulder slightly forward, one forefoot lifted as one connected shape",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dab39ccd88191b11bc061c4ba716d.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-08-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-08-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-08.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-08.png,0,0,0,promoted_accepted_set00,
09,walk,right-facing side,"mid crawl, torso gliding forward, hind legs splayed and readable",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dab65ba8c819186b5aa90d0c8433f.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-09-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-09-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-09.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-09.png,0,0,0,promoted_accepted_set00,
